objid,ra,dec
SSTSL2 J044117.26-703644.8,70.321954,-70.612457
SSTSL2 J012254.79+072435.5,20.72832,7.409862
SSTSL2 J142718.37-605825.7,216.826568,-60.973807
SSTSL2 J132510.49+580628.9,201.293719,58.108034
SSTSL2 J011127.76-725850.1,17.86567,-72.980605
SSTSL2 J055218.64-661131.6,88.077689,-66.192127
SSTSL2 J161041.29-380232.2,242.672078,-38.0423
SSTSL2 J223741.39+584521.9,339.422474,58.756104
SSTSL2 J052953.78+015751.4,82.474118,1.964284
SSTSL2 J012812.29-713835.2,22.051238,-71.643138
SSTSL2 J124156.80-634806.7,190.486689,-63.801881
SSTSL2 J084151.53-532059.4,130.464726,-53.349853
SSTSL2 J051337.32-645356.6,78.405504,-64.899059
SSTSL2 J020925.08-745309.0,32.354526,-74.885849
SSTSL2 J045516.87-665357.7,73.82033,-66.899381
SSTSL2 J144921.26-584151.2,222.338599,-58.69756
SSTSL2 J012637.53-713402.3,21.656414,-71.567328
SSTSL2 J220433.05+590403.4,331.137721,59.067634
SSTSL2 J060419.07-060412.0,91.079467,-6.070011
SSTSL2 J155946.65+544014.4,239.94438,54.670691
SSTSL2 J161222.68+212945.9,243.094512,21.49609
SSTSL2 J015005.04-732407.4,27.521027,-73.402062
SSTSL2 J195004.73+261631.2,297.519744,26.275345
SSTSL2 J055909.30-685818.3,89.788791,-68.971771
SSTSL2 J103518.57+581055.6,158.827403,58.182131
SSTSL2 J044525.99-705750.6,71.358293,-70.964082
SSTSL2 J151010.77+581031.5,227.544896,58.17544
SSTSL2 J225656.40-362701.4,344.235018,-36.450395
SSTSL2 J054002.64-682034.3,85.011037,-68.342876
SSTSL2 J101525.57+392338.6,153.856577,39.394082
SSTSL2 J055630.01-673122.6,89.125083,-67.522954
SSTSL2 J152454.44-560835.7,231.226855,-56.143257
SSTSL2 J001528.91+361357.0,3.870468,36.232527
SSTSL2 J004843.44-721154.0,12.181015,-72.198342
SSTSL2 J193744.74+214614.6,294.43642,21.770726
SSTSL2 J172534.08+740442.8,261.392015,74.07857
SSTSL2 J055546.86-663501.4,88.94526,-66.583741
SSTSL2 J083817.59-531125.9,129.573292,-53.190528
SSTSL2 J050332.62-693233.2,75.885931,-69.542578
SSTSL2 J133445.80+405055.0,203.690836,40.848629
SSTSL2 J172320.90+590716.5,260.837105,59.121255
SSTSL2 J101515.57+391910.7,153.814916,39.319655
SSTSL2 J223130.68+583727.9,337.877852,58.624438
SSTSL2 J014607.50-744409.5,26.531273,-74.735991
SSTSL2 J050145.98-654919.3,75.441599,-65.822033
SSTSL2 J162642.91+422623.5,246.678831,42.439867
SSTSL2 J153952.58-542349.2,234.969104,-54.397016
SSTSL2 J153551.77-554243.5,233.965733,-55.712089
SSTSL2 J105027.75+564007.8,162.615642,56.668845
SSTSL2 J055304.72-684143.0,88.269681,-68.695288
SSTSL2 J170615.20-423557.1,256.563372,-42.599217
SSTSL2 J223214.91+585036.7,338.062134,58.843543
SSTSL2 J114942.90-583230.6,177.428765,-58.541844
SSTSL2 J134444.32+555429.1,206.184697,55.908087
SSTSL2 J033121.84-280040.0,52.841011,-28.011124
SSTSL2 J162737.17+423456.4,246.904889,42.582353
SSTSL2 J133523.86+410733.0,203.849427,41.125851
SSTSL2 J122858.11-564756.8,187.242154,-56.799126
SSTSL2 J131047.48+203312.5,197.69786,20.553498
SSTSL2 J141803.47+414801.5,214.51448,41.800417
SSTSL2 J211850.85-633231.2,319.711904,-63.542004
SSTSL2 J020836.76-741430.5,32.153175,-74.241829
SSTSL2 J172832.51+740319.2,262.135481,74.055338
SSTSL2 J172251.50+591929.9,260.714612,59.324973
SSTSL2 J055348.80-665307.5,88.453373,-66.885418
SSTSL2 J141908.29+532550.3,214.784576,53.430645
SSTSL2 J150641.46+670825.6,226.672778,67.140456
SSTSL2 J032831.67+305312.0,52.131961,30.88669
SSTSL2 J221417.47+572417.9,333.5728,57.404973
SSTSL2 J041536.50+281710.6,63.902096,28.286285
SSTSL2 J052838.39+020824.5,82.159966,2.140154
SSTSL2 J161247.74+532038.2,243.198942,53.34395
SSTSL2 J193926.96+235248.1,294.862334,23.88005
SSTSL2 J160522.77-224617.3,241.344916,-22.771484
SSTSL2 J142741.17-794802.0,216.921553,-79.800574
SSTSL2 J161140.40-382324.7,242.918353,-38.390201
SSTSL2 J014527.31-750953.1,26.363797,-75.164767
SSTSL2 J162119.58+552543.7,245.331596,55.428827
SSTSL2 J163647.03+401243.3,249.195979,40.212038
SSTSL2 J083949.01-524633.9,129.95424,-52.776105
SSTSL2 J103546.00+520801.1,158.941669,52.133652
SSTSL2 J172414.87+594129.3,261.061995,59.691493
SSTSL2 J000829.93+361956.4,2.124712,36.332352
SSTSL2 J143308.02+353459.6,218.283438,35.583239
SSTSL2 J004506.64-735755.5,11.277704,-73.965421
SSTSL2 J042053.09+272039.1,65.221213,27.344217
SSTSL2 J013504.00+310513.4,23.766693,31.087071
SSTSL2 J220500.28+571824.2,331.251196,57.306746
SSTSL2 J162541.23+425435.7,246.421808,42.909922
SSTSL2 J030047.95+523122.1,45.199803,52.522821
SSTSL2 J163211.52+404437.8,248.048008,40.74385
SSTSL2 J105607.92+583715.4,164.033005,58.620957
SSTSL2 J020227.95-752606.8,30.616461,-75.435236
SSTSL2 J123545.02-620543.6,188.937588,-62.095469
SSTSL2 J053504.33-654507.3,83.768068,-65.752051
SSTSL2 J014726.76-733854.3,26.861503,-73.648426
SSTSL2 J005521.49-710456.6,13.839564,-71.082396
SSTSL2 J172345.52+600325.8,260.939701,60.057174
SSTSL2 J025816.61+192609.8,44.56922,19.436067
SSTSL2 J192025.91+124901.9,290.107998,12.817218
SSTSL2 J104325.58+565736.4,160.856608,56.960129
SSTSL2 J161213.72+534129.2,243.05717,53.691459
SSTSL2 J160501.57+544944.0,241.256545,54.828895
SSTSL2 J162052.25+552324.2,245.217743,55.390068
SSTSL2 J083929.56-532104.3,129.873186,-53.351213
SSTSL2 J140200.84+542315.7,210.503522,54.387704
SSTSL2 J160052.30+550222.2,240.217942,55.03951
SSTSL2 J122121.18-792202.3,185.338262,-79.367316
SSTSL2 J050352.44-671623.7,75.968541,-67.273277
SSTSL2 J162837.82+425350.3,247.157619,42.89733
SSTSL2 J141857.74+533048.8,214.740596,53.513569
SSTSL2 J193803.03+205746.9,294.512661,20.963035
SSTSL2 J010702.42-744025.2,16.760112,-74.673667
SSTSL2 J084104.91-525128.5,130.270481,-52.857924
SSTSL2 J194025.64+235921.1,295.10686,23.989208
SSTSL2 J013232.92-722531.5,23.137176,-72.425426
SSTSL2 J194225.50+215502.8,295.606287,21.91745
SSTSL2 J045853.10-684837.1,74.721253,-68.810326
SSTSL2 J020753.51-742615.2,31.972967,-74.437573
SSTSL2 J123605.07+503030.6,189.021129,50.508507
SSTSL2 J163624.10+361424.3,249.100431,36.240089
SSTSL2 J045336.24-714246.7,73.401041,-71.712997
SSTSL2 J013703.96-733835.9,24.266532,-73.64333
SSTSL2 J142441.18+330727.5,216.1716,33.124314
SSTSL2 J104012.48+580721.7,160.052004,58.122718
SSTSL2 J054451.48-695438.3,86.214531,-69.910657
SSTSL2 J161230.58+534752.4,243.127417,53.797905
SSTSL2 J043758.61-684528.9,69.494235,-68.758044
SSTSL2 J075902.47-383750.6,119.760293,-38.630737
SSTSL2 J163509.09+412706.9,248.787897,41.451928
SSTSL2 J194709.18+270032.4,296.788277,27.009021
SSTSL2 J053824.61-712403.2,84.602565,-71.400904
SSTSL2 J004949.97-744332.7,12.458223,-74.725767
SSTSL2 J050805.46-652939.5,77.022786,-65.49431
SSTSL2 J002001.84+215351.4,5.007687,21.897637
SSTSL2 J172310.47+584918.6,260.793642,58.821859
SSTSL2 J014451.55-433635.4,26.214821,-43.609853
SSTSL2 J004949.24-743848.4,12.455177,-74.64679
SSTSL2 J174507.88+053021.9,266.282834,5.506091
SSTSL2 J013622.95+210017.9,24.095635,21.004987
SSTSL2 J033334.30-272720.8,53.392952,-27.455796
SSTSL2 J133049.17+311505.7,202.704914,31.251611
SSTSL2 J152742.19-555515.2,231.925833,-55.92091
SSTSL2 J162900.03+424747.3,247.250138,42.796493
SSTSL2 J005352.48-705920.5,13.468685,-70.989042
SSTSL2 J053759.28-654053.7,84.497002,-65.681609
SSTSL2 J142414.56+240824.3,216.060684,24.140098
SSTSL2 J051940.22-655705.8,79.917611,-65.951613
SSTSL2 J021758.12-035022.7,34.492204,-3.839653
SSTSL2 J223450.82+600034.5,338.711771,60.009609
SSTSL2 J164746.16+345828.4,251.942337,34.974563
SSTSL2 J180616.97-264720.1,271.57073,-26.788941
SSTSL2 J104148.00+591117.4,160.450014,59.188191
SSTSL2 J140304.40+540413.2,210.768369,54.070341
SSTSL2 J044214.25-690449.6,70.559403,-69.080464
SSTSL2 J192939.67+194844.5,292.415308,19.812365
SSTSL2 J142718.20+460632.5,216.825853,46.109049
SSTSL2 J162537.76+424630.4,246.407363,42.775115
SSTSL2 J225636.28+630716.3,344.151182,63.121201
SSTSL2 J110411.93-033612.4,166.049726,-3.603466
SSTSL2 J022551.78-034539.1,36.465772,-3.760864
SSTSL2 J045102.84+260541.8,72.761863,26.094964
SSTSL2 J011345.37-743343.1,18.439082,-74.561983
SSTSL2 J150355.78+011234.8,225.982424,1.209685
SSTSL2 J171419.37+583855.7,258.580718,58.648816
SSTSL2 J221454.24+570114.8,333.72602,57.020784
SSTSL2 J022635.03-050520.8,36.645991,-5.089121
SSTSL2 J084123.56-530520.8,130.34817,-53.08913
SSTSL2 J133434.07+405230.0,203.641983,40.87501
SSTSL2 J222716.69+593348.8,336.819565,59.563569
SSTSL2 J003343.06-732440.0,8.429446,-73.411132
SSTSL2 J180530.50-261210.6,271.377103,-26.202957
SSTSL2 J013506.16-733551.1,23.775674,-73.597548
SSTSL2 J221434.44+592035.0,333.643525,59.343081
SSTSL2 J192015.34+122437.5,290.063934,12.410428
SSTSL2 J052127.59-655104.5,80.364992,-65.851255
SSTSL2 J172315.85+600146.0,260.816067,60.029455
SSTSL2 J163310.59+402646.1,248.294142,40.44615
SSTSL2 J033357.25-275250.9,53.488582,-27.880825
SSTSL2 J133056.80+302959.4,202.736668,30.499836
SSTSL2 J171519.61+602746.5,258.831745,60.462942
SSTSL2 J061424.86-063728.0,93.603605,-6.624469
SSTSL2 J005618.55-712202.6,14.077322,-71.367394
SSTSL2 J220850.44+570912.3,332.21017,57.15343
SSTSL2 J163907.43+421029.7,249.780999,42.174942
SSTSL2 J142120.95-795746.4,215.337331,-79.962904
SSTSL2 J180302.08-044233.7,270.758668,-4.709383
SSTSL2 J171225.28-274202.4,258.105343,-27.700673
SSTSL2 J171252.37+602635.7,258.218224,60.443264
SSTSL2 J032839.57-282919.2,52.164892,-28.488679
SSTSL2 J102607.38+673823.2,156.530754,67.63978
SSTSL2 J172538.61+595454.0,261.410899,59.915002
SSTSL2 J022605.23-050850.4,36.521805,-5.147359
SSTSL2 J033703.86-275019.8,54.266095,-27.838848
SSTSL2 J220416.28+590837.9,331.067838,59.143868
SSTSL2 J005325.40-710242.7,13.355853,-71.045198
SSTSL2 J060106.18-685511.0,90.275775,-68.919742
SSTSL2 J153918.27-065726.1,234.826142,-6.957262
SSTSL2 J191929.09+124758.5,289.87121,12.799601
SSTSL2 J172438.76+592029.9,261.161508,59.341641
SSTSL2 J104932.16+581015.0,162.384018,58.170858
SSTSL2 J080940.82-492350.2,122.420118,-49.397287
SSTSL2 J021720.18-750756.2,34.334092,-75.132283
SSTSL2 J223141.52+600408.5,337.923029,60.069049
SSTSL2 J160212.15+553640.2,240.550656,55.611191
SSTSL2 J052058.87-650550.5,80.2453,-65.097364
SSTSL2 J053336.28+210227.2,83.401172,21.040913
SSTSL2 J194218.58+220057.9,295.577443,22.01611
SSTSL2 J161215.93+551439.7,243.066405,55.244365
SSTSL2 J003627.03-723050.1,9.112634,-72.513917
SSTSL2 J141416.78-802751.2,213.569943,-80.464238
SSTSL2 J224841.35+625507.8,342.172317,62.91884
SSTSL2 J061531.47-063013.0,93.881134,-6.50363
SSTSL2 J142119.91+295855.6,215.332979,29.982117
SSTSL2 J105052.73+132603.9,162.719745,13.434439
SSTSL2 J161615.93+542344.6,244.066408,54.395735
SSTSL2 J110210.66-343123.9,165.544423,-34.523322
SSTSL2 J164212.24+413145.7,250.551033,41.529388
SSTSL2 J172501.14+591828.8,261.254776,59.308004
SSTSL2 J053458.19-721603.8,83.742463,-72.267723
SSTSL2 J171946.14+601457.1,259.94229,60.249206
SSTSL2 J044505.88-710004.6,71.274501,-71.001304
SSTSL2 J172319.36+583021.6,260.830678,58.506023
SSTSL2 J171924.77+592041.2,259.853231,59.344803
SSTSL2 J070422.85-034537.4,106.095245,-3.760389
SSTSL2 J165059.48+344817.7,252.747863,34.804943
SSTSL2 J225545.12+630748.6,343.93801,63.130191
SSTSL2 J055351.58-672247.0,88.464932,-67.379749
SSTSL2 J174626.83+054808.8,266.611792,5.802471
SSTSL2 J032547.72-293013.2,51.448855,-29.503683
SSTSL2 J222415.16+602141.8,336.063179,60.361638
SSTSL2 J004201.59-724724.0,10.506666,-72.79002
SSTSL2 J142157.28-801246.3,215.488685,-80.212863
SSTSL2 J051631.17-655931.7,79.129888,-65.992153
SSTSL2 J160617.57+545202.7,241.573237,54.867436
SSTSL2 J221024.36+584014.7,332.601525,58.67077
SSTSL2 J050632.68-703254.8,76.636168,-70.548564
SSTSL2 J023104.40-734232.0,37.768344,-73.708894
SSTSL2 J025834.32+200023.5,44.643037,20.006533
SSTSL2 J050127.27-703149.7,75.36363,-70.530494
SSTSL2 J073812.53-405745.5,114.55222,-40.962666
SSTSL2 J211913.75-633759.1,319.80732,-63.633092
SSTSL2 J043133.62-684733.8,67.890092,-68.792736
SSTSL2 J194500.07+221502.8,296.250294,22.250804
SSTSL2 J162610.15+422936.9,246.542306,42.493595
SSTSL2 J052523.48-714607.9,81.347847,-71.768876
SSTSL2 J104952.96+561835.1,162.470685,56.309754
SSTSL2 J045729.38-703302.6,74.372436,-70.55074
SSTSL2 J052121.11-714000.7,80.337991,-71.66687
SSTSL2 J162037.56+550058.8,245.156529,55.01634
SSTSL2 J043947.92-290623.2,69.949706,-29.106469
SSTSL2 J194135.08+204316.1,295.396172,20.721154
SSTSL2 J052859.15+020448.9,82.246496,2.080256
SSTSL2 J051837.05-431745.0,79.654407,-43.295835
SSTSL2 J193052.33-723658.6,292.718063,-72.616303
SSTSL2 J101913.73+390614.9,154.807213,39.104164
SSTSL2 J023333.90+604648.6,38.391288,60.780181
SSTSL2 J113548.80-613606.7,173.953349,-61.601869
SSTSL2 J221731.41+572350.1,334.380912,57.397274
SSTSL2 J223018.66+584513.2,337.577785,58.753676
SSTSL2 J061532.95+710329.9,93.887297,71.058326
SSTSL2 J032231.90-372023.1,50.632939,-37.339775
SSTSL2 J055708.29-700817.1,89.284554,-70.138084
SSTSL2 J223508.09+591721.8,338.783738,59.289403
SSTSL2 J052600.16+013837.0,81.500692,1.643612
SSTSL2 J031001.39+592442.4,47.505793,59.411778
SSTSL2 J033322.86-272010.4,53.345261,-27.336249
SSTSL2 J190022.08+392233.4,285.092038,39.375968
SSTSL2 J182946.31-050240.8,277.442974,-5.044674
SSTSL2 J013238.78+301216.7,23.161621,30.204667
SSTSL2 J042706.62-690319.3,66.777588,-69.055383
SSTSL2 J011343.38-710234.8,18.430751,-71.043013
SSTSL2 J052703.51-705813.1,81.764651,-70.970318
SSTSL2 J043721.20-685629.8,69.338353,-68.941629
SSTSL2 J000204.23-301034.3,0.51765,-30.176215
SSTSL2 J084647.63-785825.8,131.698461,-78.973852
SSTSL2 J142553.17-795659.1,216.471554,-79.949751
SSTSL2 J161133.45+543431.2,242.889383,54.575335
SSTSL2 J084128.72-524947.2,130.369667,-52.829793
SSTSL2 J104434.68+595033.2,161.14452,59.84257
SSTSL2 J031031.94+592116.0,47.633105,59.354449
SSTSL2 J070337.96-033823.2,105.908176,-3.639805
SSTSL2 J221829.41+580031.7,334.622578,58.008824
SSTSL2 J162637.80+423856.1,246.657525,42.648923
SSTSL2 J122514.15+213010.6,186.308998,21.502971
SSTSL2 J011217.61-743656.4,18.073377,-74.615672
SSTSL2 J053618.98+224242.2,84.079092,22.711733
SSTSL2 J081821.16+704020.9,124.588198,70.672481
SSTSL2 J135356.74+401535.9,208.486436,40.259997
SSTSL2 J122447.29+211649.3,186.197066,21.280381
SSTSL2 J221339.01+565002.6,333.412583,56.834065
SSTSL2 J221532.30+565903.6,333.88462,56.984352
SSTSL2 J104756.50+592146.3,161.985438,59.362886
SSTSL2 J002157.68-734936.7,5.490342,-73.826874
SSTSL2 J173014.25+575021.8,262.559384,57.839394
SSTSL2 J161810.92+554147.6,244.545522,55.696581
SSTSL2 J222859.93+601525.1,337.24972,60.256993
SSTSL2 J051447.27-671501.4,78.696996,-67.250391
SSTSL2 J192340.92+161525.5,290.920526,16.257106
SSTSL2 J010425.83-705005.4,16.10764,-70.83484
SSTSL2 J015850.75-742908.7,29.711489,-74.485756
SSTSL2 J172306.22+600440.9,260.775956,60.07803
SSTSL2 J123932.76+551347.1,189.886537,55.229767
SSTSL2 J003132.58-741827.3,7.885766,-74.307597
SSTSL2 J194422.22+252436.7,296.092613,25.410212
SSTSL2 J193150.43-723732.0,292.96014,-72.62558
SSTSL2 J101321.17-012510.7,153.338241,-1.419641
SSTSL2 J051819.84-724907.7,79.582699,-72.818807
SSTSL2 J162732.44+422618.0,246.885196,42.438341
SSTSL2 J105730.78+571613.5,164.378278,57.270427
SSTSL2 J105452.32+585153.6,163.718014,58.864906
SSTSL2 J014325.15-744208.4,25.854832,-74.702347
